KepID,DispositionScore,NotTransit-LikeFalsePositiveFlag,koi_fpflag_ss,CentroidOffsetFalsePositiveFlag,EphemerisMatchIndicatesContaminationFalsePositiveFlag,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,TCEDeliver,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag],ExoplanetCandidate,ExoplanetConfirmed
8557374,1.0,0,0,0,0,4.822969318,5.51e-06,-5.51e-06,134.43535,0.000888,-0.000888,0.891,0.043,-0.631,0.8752,0.034,-0.034,332.0,12.5,-12.5,2.22,0.35,-0.12,1060.0,297.73,130.79,-55.07,36.0,2.0,1,5736.0,103.0,-125.0,4.467,0.03,-0.12,1.008,0.159,-0.057,290.82419,44.647179,13.648,1,2
1431122,0.99,0,0,0,0,4.2989201,2.01e-05,-2.01e-05,132.86187,0.00396,-0.00396,0.972,0.032,-0.757,2.747,0.131,-0.131,238.0,13.7,-13.7,2.12,0.27,-0.27,1046.0,283.62,100.01,-78.24,20.0,1.0,1,5300.0,87.0,-71.0,4.385,0.132,-0.088,0.986,0.124,-0.124,291.14249,37.061321,14.613,1,1
5597970,0.0,0,1,0,0,6.71738328,5.34e-07,-5.34e-07,137.2100078,6.53e-05,-6.53e-05,0.159,0.009,-0.116,3.60057,0.00155,-0.00155,165000.0,151.0,-151.0,37.65,8.69,-5.07,883.0,143.87,106.12,-50.4,1208.2,1.0,1,5301.0,185.0,-185.0,4.416,0.139,-0.186,0.936,0.216,-0.126,283.43982,40.83622,12.778,0,0
10028352,0.0,0,1,0,0,1.75147897,1.11e-05,-1.11e-05,132.47509,0.0021,-0.0021,0.008,1.09,-0.981,7.89,2.3,-2.3,76.7,8.3,-8.3,1.8,0.43,-0.32,2340.0,7086.5,4178.88,-2561.72,68.2,2.0,1,6823.0,61.0,-91.0,4.04,0.121,-0.148,2.037,0.486,-0.365,297.79224,46.935829,12.655,0,0
8962094,1.0,0,0,0,0,9.36059705,2.31e-05,-2.31e-05,171.97292,0.00194,-0.00194,0.802,0.083,-0.557,3.2069,0.0609,-0.0609,237.0,6.2,-6.2,1.42,0.17,-0.07,784.0,89.47,33.18,-14.13,42.0,2.0,1,5677.0,113.0,-113.0,4.563,0.018,-0.108,0.828,0.104,-0.037,294.97351,45.213692,13.58,1,2
7032421,1.0,0,1,0,0,20.55848388,4.57e-05,-4.57e-05,133.00401,0.00189,-0.00189,1.334,70.53,-3.741,1.449,0.106,-0.106,677.0,40.0,-40.0,36.9,4.89,-2.09,624.0,35.76,12.61,-5.79,20.8,1.0,1,5578.0,75.0,-83.0,4.484,0.04,-0.112,0.936,0.124,-0.053,291.41833,42.579819,14.792,0,0
6026438,0.4,0,0,0,0,24.2101973,0.000246,-0.000246,141.4698,0.00767,-0.00767,0.45,0.501,-0.245,4.046,0.286,-0.286,458.0,35.2,-35.2,1.5,0.1,-0.13,451.0,9.8,2.56,-2.56,14.1,2.0,1,4650.0,125.0,-139.0,4.589,0.048,-0.028,0.706,0.046,-0.061,285.75146,41.33564,15.549,1,2
5858519,0.0,0,1,0,0,4.18236124,1.98e-06,-1.98e-06,134.053289,0.000588,-0.000588,0.809,0.012,-0.016,6.70175,0.00298,-0.00298,194000.0,87.0,-87.0,69.37,21.8,-11.7,1303.0,680.56,651.21,-279.32,2666.0,1.0,1,6188.0,197.0,-240.0,4.314,0.132,-0.198,1.166,0.366,-0.197,285.10342,41.112469,14.74,0,0
7097965,1.0,0,0,0,0,7.72085047,2.08e-05,-2.08e-05,136.563,0.00211,-0.00211,0.963,0.029,-0.717,1.8264,0.0696,-0.0696,267.0,12.7,-12.7,2.53,0.4,-0.4,1021.0,257.14,112.96,-90.31,25.0,1.0,1,5887.0,105.0,-129.0,4.29,0.138,-0.113,1.177,0.186,-0.186,284.49033,42.648289,13.516,1,1
7199397,1.0,0,0,0,0,105.8817667,0.000131,-0.000131,156.97935,0.00101,-0.00101,0.539,0.044,-0.149,18.044,0.102,-0.102,1560.0,6.3,-6.3,10.16,0.94,-1.27,595.0,29.64,7.72,-8.11,301.8,1.0,1,5903.0,79.0,-79.0,3.757,0.078,-0.052,2.499,0.233,-0.311,291.49722,42.728481,10.775,1,1
