KepID,DispositionScore,NotTransit-LikeFalsePositiveFlag,koi_fpflag_ss,CentroidOffsetFalsePositiveFlag,EphemerisMatchIndicatesContaminationFalsePositiveFlag,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,TCEDeliver,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag],ExoplanetCandidate,ExoplanetConfirmed
5565261,0.0,0,1,1,0,2.362348096,2.61e-06,-2.61e-06,131.705479,0.000896,-0.000896,1.219,1.461,-0.135,3.5979,0.0459,-0.0459,725.0,8.4,-8.4,89.55,32.3,-39.4,2104.0,4625.06,4905.48,-3328.28,103.6,1.0,1,5088.0,139.0,-139.0,3.502,0.462,-0.249,3.293,1.186,-1.45,299.33298,40.714352,13.99,0,0
7100673,0.997,0,0,0,0,5.99273265,2.36e-05,-2.36e-05,131.75079,0.0031,-0.0031,0.505,0.419,-0.302,2.6502,0.0944,-0.0944,69.8,3.9,-3.9,0.91,0.14,-0.13,1010.0,245.32,109.34,-76.88,19.2,3.0,1,5574.0,111.0,-100.0,4.354,0.132,-0.108,1.065,0.166,-0.15,285.72849,42.65453,12.639,1,2
10387742,0.217,1,0,0,0,251.7512,0.00288,-0.00288,271.06864,0.00693,-0.00693,0.943,0.032,-0.671,4.314,0.436,-0.436,114.0,18.6,-18.6,1.25,0.18,-0.08,272.0,1.29,0.52,-0.25,7.5,2.0,1,5640.0,101.0,-113.0,4.492,0.045,-0.113,0.921,0.131,-0.061,283.42911,47.59251,12.623,0,0
3342794,0.997,0,0,0,0,14.17222858,5.56e-05,-5.56e-05,142.60134,0.0032,-0.0032,0.869,0.048,-0.62,2.6297,0.083,-0.083,247.0,11.0,-11.0,2.39,0.38,-0.46,873.0,137.33,60.78,-55.22,24.5,1.0,1,5845.0,105.0,-117.0,4.2,0.176,-0.108,1.314,0.209,-0.256,291.60718,38.410389,13.776,1,2
11253711,0.991,0,0,0,0,17.79108667,4.41e-05,-4.41e-05,149.25344,0.00197,-0.00197,0.654,0.037,-0.495,2.662,0.0593,-0.0593,414.0,11.3,-11.3,2.88,0.47,-0.64,830.0,112.09,48.4,-47.0,39.8,1.0,1,5855.0,79.0,-70.0,4.148,0.195,-0.105,1.34,0.221,-0.294,296.08975,48.955372,13.8,1,1
11090556,1.0,0,0,0,0,2.7881793,1.85e-05,-1.85e-05,131.84558,0.00571,-0.00571,0.058,0.402,-0.058,3.397,0.139,-0.139,55.8,3.4,-3.4,1.02,0.18,-0.2,1510.0,1228.07,538.44,-496.01,17.7,1.0,1,5758.0,78.0,-86.0,4.168,0.182,-0.098,1.385,0.232,-0.283,294.86618,48.638981,13.71,1,2
7118364,1.0,0,0,0,0,4.347288783,8.51e-06,-8.51e-06,172.23343,0.00157,-0.00157,0.025,0.404,-0.025,2.1024,0.0502,-0.0502,452.0,13.2,-13.2,2.36,0.39,-0.29,1174.0,449.79,193.34,-122.22,39.7,1.0,1,5754.0,78.0,-78.0,4.345,0.11,-0.11,1.122,0.184,-0.138,291.96417,42.69614,15.024,1,2
3848966,0.993,0,0,0,0,29.7681831,0.00076,-0.00076,155.5003,0.0219,-0.0219,0.739,0.235,-0.515,9.425,0.7,-0.7,160.0,14.4,-14.4,3.98,0.73,-1.34,917.0,167.51,79.44,-98.4,13.2,1.0,1,5640.0,76.0,-84.0,3.679,0.245,-0.105,2.916,0.531,-0.986,291.06937,38.914909,14.564,1,1
12109845,0.0,0,1,0,0,0.865959015,1.53e-07,-1.53e-07,132.053694,0.000155,-0.000155,3.068,1.482,-0.353,1.9058,0.0111,-0.0111,291000.0,656.0,-656.0,144.5,9.24,-12.3,1162.0,434.65,123.0,-129.02,620.8,1.0,1,4561.0,145.0,-194.0,4.788,0.048,-0.028,0.469,0.03,-0.04,290.91916,50.696388,16.44,0,0
9291368,0.0,0,1,0,0,3.796448299,9.99e-06,-9.99e-06,131.37037,0.0037,-0.0037,0.249,0.005,-0.004,11.5917,0.0103,-0.0103,523000.0,633.0,-633.0,232.39,20.4,-109.0,2577.0,10412.56,3508.68,-7931.36,1487.2,1.0,1,8117.0,251.0,-334.0,3.748,0.442,-0.078,3.07,0.27,-1.44,295.82617,45.78764,14.005,0,0
6677256,0.0,0,1,1,1,3.125814002,8.55e-06,-8.55e-06,356.41184,0.00191,-0.00191,0.506,0.048,-0.443,1.7895,0.0683,-0.0683,239.0,9.2,-9.2,1.88,0.61,-0.26,1460.0,1073.04,1024.5,-392.17,32.0,1.0,1,6358.0,179.0,-246.0,4.346,0.101,-0.203,1.181,0.381,-0.163,287.14944,42.105209,14.521,0,0
6520519,0.825,0,0,0,0,1.97650073,1.1e-05,-1.1e-05,132.95624,0.00456,-0.00456,0.055,0.386,-0.055,1.788,0.136,-0.136,113.0,12.8,-12.8,0.97,0.31,-0.1,1394.0,892.9,819.47,-270.97,10.4,1.0,1,5792.0,161.0,-202.0,4.514,0.05,-0.2,0.923,0.287,-0.096,291.21164,41.9856,15.608,1,1
8644365,1.0,0,0,0,0,10.54841329,5.47e-05,-5.47e-05,139.06402,0.00411,-0.00411,1.017,0.047,-0.786,1.872,0.143,-0.143,103.0,10.4,-10.4,3.89,0.65,-0.34,899.0,154.84,72.78,-37.23,11.7,2.0,1,6047.0,120.0,-133.0,4.387,0.066,-0.123,1.092,0.181,-0.097,298.09543,44.737061,13.204,1,1
3437776,0.0,1,0,1,0,0.635587392,2.14e-06,-2.14e-06,133.41665,0.00265,-0.00265,1.151,0.036,-0.155,4.7,0.269,-0.269,148.0,4.7,-4.7,28.58,4.16,-6.24,2587.0,10637.41,4084.68,-4478.61,40.9,2.0,1,5671.0,76.0,-76.0,4.075,0.189,-0.081,1.608,0.234,-0.351,289.79907,38.555061,14.565,0,0
9032900,0.0,0,0,0,0,67.5923754,0.000534,-0.000534,151.75056,0.00535,-0.00535,0.728,0.017,-0.451,12.249,0.332,-0.332,4160.0,79.7,-79.7,12.1,2.25,-2.76,588.0,28.2,14.74,-12.7,60.9,2.0,1,6038.0,120.0,-120.0,4.082,0.18,-0.12,1.744,0.325,-0.398,295.58658,45.364979,13.675,1,1
7697103,0.729,0,0,0,0,13.9248005,0.00018,-0.00018,142.04732,0.0098,-0.0098,0.021,0.426,-0.021,5.016,0.281,-0.281,195.0,20.2,-20.2,0.9,0.11,-0.06,588.0,28.27,11.93,-6.36,11.2,1.0,1,5271.0,141.0,-157.0,4.669,0.028,-0.083,0.648,0.085,-0.042,296.38269,43.386589,15.712,1,1
6528464,0.797,0,0,0,0,33.67280658,9.04e-05,-9.04e-05,162.03676,0.00216,-0.00216,0.309,0.126,-0.309,8.2267,0.0666,-0.0666,171.0,2.9,-2.9,1.86,0.06,-0.04,661.0,45.09,6.56,-3.41,61.2,2.0,1,5587.0,100.0,-58.0,4.091,0.011,-0.011,1.423,0.047,-0.026,293.73282,41.900829,11.411,1,2
10661976,0.0,1,0,1,1,0.61566096,1.13e-05,-1.13e-05,131.8348,0.017,-0.017,0.161,0.339,-0.161,2.669,0.579,-0.579,13.9,2.0,-2.0,0.84,0.2,-0.39,3459.0,33790.36,23862.99,-25583.88,8.5,1.0,1,6619.0,187.0,-234.0,3.89,0.424,-0.133,2.23,0.525,-1.049,290.37558,47.996696,13.74,0,0
9935642,1.0,0,0,0,0,9.33955596,6.35e-05,-6.35e-05,138.11016,0.00587,-0.00587,0.985,0.02,-0.705,2.058,0.22,-0.22,245.0,29.3,-29.3,2.67,0.78,-0.58,882.0,143.02,124.84,-64.51,10.1,1.0,1,5516.0,166.0,-150.0,4.308,0.214,-0.195,1.101,0.319,-0.239,283.45764,46.819538,15.03,1,1
9578686,1.0,0,0,0,0,21.3851584,3.58e-05,-3.58e-05,178.78285,0.00132,-0.00132,0.518,0.063,-0.393,4.0819,0.0447,-0.0447,664.0,11.4,-11.4,2.17,0.18,-0.15,574.0,25.63,6.91,-5.12,67.3,1.0,1,5376.0,106.0,-106.0,4.516,0.06,-0.06,0.825,0.069,-0.057,287.33279,46.20351,13.94,1,2
4826110,0.0,0,0,1,0,1.333395306,7.41e-06,-7.41e-06,134.18228,0.00366,-0.00366,0.151,0.313,-0.151,1.188,0.168,-0.168,115.0,13.0,-13.0,0.86,0.1,-0.09,1390.0,880.53,384.08,-250.18,11.5,1.0,1,5199.0,171.0,-155.0,4.527,0.06,-0.082,0.811,0.1,-0.082,288.92575,39.90155,15.299,0,0
3861611,0.0,0,0,1,1,3.84933401,2.68e-05,-2.68e-05,134.43526,0.00549,-0.00549,0.591,0.359,-0.369,2.299,0.157,-0.157,504.0,44.3,-44.3,2.12,0.62,-0.21,1147.0,408.84,373.84,-119.95,13.6,1.0,1,5984.0,210.0,-210.0,4.521,0.05,-0.2,0.906,0.264,-0.088,294.36057,38.948181,15.851,0,0
6387542,1.0,0,0,0,0,2.53475568,7.43e-06,-7.43e-06,132.68024,0.00275,-0.00275,0.878,0.017,-0.622,4.5716,0.0706,-0.0706,463.0,10.2,-10.2,2.02,0.48,-0.21,1218.0,519.95,387.24,-152.89,51.3,1.0,1,5662.0,186.0,-186.0,4.532,0.077,-0.143,0.806,0.192,-0.082,298.11121,41.758331,15.341,1,2
4275117,0.0,0,0,1,0,1.00652785,3.49e-06,-3.49e-06,131.71627,0.0028,-0.0028,0.467,0.468,-0.277,1.3175,0.0952,-0.0952,126.0,8.5,-8.5,1.03,0.3,-0.1,1815.0,2556.97,2243.09,-710.49,17.9,1.0,1,6089.0,183.0,-183.0,4.527,0.05,-0.2,0.889,0.259,-0.086,294.63834,39.39798,14.716,0,0
9640439,0.052,0,0,1,0,0.873227249,1.9e-06,-1.9e-06,132.23359,0.00199,-0.00199,0.14,0.324,-0.14,0.7948,0.0707,-0.0707,222.0,16.0,-16.0,1.68,0.59,-0.19,2152.0,5053.02,5242.9,-1690.03,21.9,1.0,1,6341.0,179.0,-246.0,4.409,0.056,-0.224,1.111,0.389,-0.13,287.69272,46.366928,15.153,0,0
10208894,0.0,1,0,0,0,183.836254,0.00539,-0.00539,149.3728,0.0165,-0.0165,0.956,0.004,-0.68,13.088,0.567,-0.567,1050.0,70.5,-70.5,51.64,8.93,-13.4,852.0,124.46,58.93,-64.02,15.7,1.0,1,4959.0,86.0,-149.0,2.569,0.03,-0.03,11.963,2.068,-3.102,292.32233,47.255112,13.993,0,0
4274548,0.999,0,0,0,0,6.80082032,2.28e-05,-2.28e-05,359.17999,0.00243,-0.00243,0.597,0.086,-0.448,1.9883,0.0915,-0.0915,700.0,33.0,-33.0,1.88,0.23,-0.12,697.0,55.83,24.87,-13.68,25.5,1.0,1,4805.0,172.0,-172.0,4.633,0.027,-0.063,0.688,0.083,-0.045,294.50842,39.398682,15.238,1,1
10984090,1.0,0,0,0,0,3.709214104,6.54e-06,-6.54e-06,133.98318,0.00143,-0.00143,0.051,0.395,-0.051,2.6302,0.0427,-0.0427,131.0,3.0,-3.0,1.16,0.17,-0.12,1206.0,500.46,197.96,-130.54,50.6,2.0,1,5833.0,105.0,-117.0,4.407,0.085,-0.114,1.022,0.143,-0.107,295.64871,48.49556,12.772,1,2
2578017,0.0,0,1,1,0,0.592562969,6.69e-07,-6.69e-07,131.9017,0.00107,-0.00107,1.252,0.244,-0.168,3.0869,0.05,-0.05,1550.0,18.6,-18.6,25.97,6.84,-2.3,1967.0,3520.7,2807.79,-961.89,100.4,1.0,1,5728.0,172.0,-189.0,4.575,0.033,-0.176,0.804,0.212,-0.071,291.91415,37.807819,15.784,0,0
8429450,0.0,0,1,0,0,1.352576807,1.56e-07,-1.56e-07,132.0374311,9.52e-05,-9.52e-05,0.616,0.014,-0.014,5.49531,0.00583,-0.00583,317000.0,255.0,-255.0,161.02,32.6,-76.0,2866.0,15932.27,10104.48,-12184.18,1365.1,1.0,1,6881.0,214.0,-285.0,3.831,0.456,-0.114,2.406,0.487,-1.136,291.31595,44.462849,13.106,0,0
3747817,0.868,0,0,0,0,14.2378417,0.000319,-0.000319,140.4771,0.0128,-0.0128,0.314,0.154,-0.314,4.86,1.1,-1.1,193.0,33.7,-33.7,1.1,0.1,-0.04,629.0,37.02,10.57,-5.62,10.5,2.0,1,5273.0,105.0,-105.0,4.566,0.025,-0.07,0.801,0.072,-0.033,291.67682,38.874908,14.838,1,1
11519226,0.0,0,1,0,0,22.16127178,4.77e-05,-4.77e-05,148.46378,0.00181,-0.00181,1.277,6.814,-0.41,3.699,0.0868,-0.0868,5260.0,110.0,-110.0,69.44,14.8,-22.1,877.0,139.67,89.23,-80.49,56.6,1.0,1,5893.0,162.0,-133.0,3.945,0.315,-0.105,1.745,0.371,-0.556,297.07068,49.442451,13.034,0,0
4678873,0.0,0,1,0,1,1.878877205,5.82e-07,-5.82e-07,133.074035,0.000262,-0.000262,1.005,0.028,-0.022,5.8768,0.0146,-0.0146,104000.0,235.0,-235.0,109.55,19.8,-17.8,2523.0,9554.79,4300.29,-3144.43,525.4,1.0,1,7542.0,75.0,-83.0,4.036,0.137,-0.112,1.999,0.361,-0.325,297.42007,39.77375,12.725,0,0
11661803,0.0,0,1,1,0,363.448167,0.00411,-0.00411,411.19336,0.0068,-0.0068,1.259,72.26,-3.887,6.013,0.448,-0.448,2120.0,134.0,-134.0,37.03,12.8,-4.27,285.0,1.56,1.59,-0.52,19.4,2.0,1,6289.0,174.0,-240.0,4.411,0.072,-0.217,1.093,0.379,-0.126,291.88229,49.748161,15.279,0,0
5436502,0.999,0,0,0,0,23.65369415,1.75e-05,-1.75e-05,171.376107,0.000603,-0.000603,0.008,0.169,-0.008,8.2183,0.021,-0.021,3340.0,13.2,-13.2,7.89,1.38,-1.52,731.0,67.65,33.37,-26.59,266.3,1.0,1,5739.0,114.0,-103.0,4.191,0.162,-0.108,1.384,0.242,-0.266,287.89713,40.637821,15.084,1,2
7031340,0.0,1,0,1,1,0.566769068,6.33e-06,-6.33e-06,131.8681,0.01,-0.01,0.773,0.202,-0.527,3.011,0.369,-0.369,40.0,4.3,-4.3,1.06,0.43,-0.51,2661.0,11897.94,14254.39,-9120.08,14.9,1.0,1,5496.0,164.0,-164.0,3.998,0.553,-0.237,1.533,0.61,-0.746,291.0571,42.583359,14.447,0,0
7289317,0.968,0,0,0,0,16.83203175,8.53e-05,-8.53e-05,140.53041,0.00469,-0.00469,0.533,0.416,-0.331,4.031,0.129,-0.129,326.0,16.1,-16.1,1.86,0.25,-0.18,690.0,53.44,19.29,-12.54,21.6,1.0,1,5518.0,74.0,-83.0,4.4,0.1,-0.1,1.008,0.137,-0.099,294.00946,42.880772,14.834,1,2
8609450,0.896,0,0,0,0,9.2207691,0.00014,-0.00014,138.0072,0.0145,-0.0145,0.037,0.411,-0.037,4.907,0.279,-0.279,140.0,11.6,-11.6,1.02,0.11,-0.1,817.0,105.63,32.94,-26.19,13.2,4.0,1,5600.0,112.0,-100.0,4.455,0.102,-0.077,0.872,0.088,-0.088,284.67728,44.79768,15.204,1,2
10855545,0.089,0,0,0,0,37.537859,0.00128,-0.00128,159.7364,0.0276,-0.0276,0.058,0.389,-0.057,6.513,0.568,-0.568,269.0,39.0,-39.0,1.77,0.54,-0.23,583.0,27.38,25.42,-9.94,8.2,1.0,1,6095.0,190.0,-253.0,4.429,0.065,-0.195,1.082,0.331,-0.142,289.21732,48.204311,15.769,1,1
9613070,0.0,0,1,0,0,2.33211505,3.19e-06,-3.19e-06,132.19683,0.00113,-0.00113,1.747,0.303,-0.157,2.96723,0.00921,-0.00921,106000.0,142.0,-142.0,140.22,39.7,-24.5,1594.0,1530.05,1284.72,-639.83,997.8,1.0,1,6384.0,179.0,-247.0,4.348,0.124,-0.186,1.094,0.31,-0.191,300.15649,46.20332,14.087,0,0
9143254,0.0,0,1,0,0,1.137525054,1.49e-07,-1.49e-07,133.805565,0.000109,-0.000109,1.238,0.054,-0.05,2.68228,0.00463,-0.00463,18000.0,21.7,-21.7,42.74,12.2,-5.2,1746.0,2197.52,1839.82,-697.33,633.1,1.0,1,5912.0,160.0,-178.0,4.467,0.081,-0.189,0.937,0.267,-0.114,286.36188,45.555161,15.452,0,0
6692833,0.0,0,0,1,0,10.80487163,3.98e-05,-3.98e-05,134.09498,0.00306,-0.00306,0.207,0.264,-0.206,2.7215,0.0901,-0.0901,293.0,12.4,-12.4,1.71,0.51,-0.18,857.0,127.84,111.04,-38.89,27.4,1.0,1,6092.0,168.0,-210.0,4.471,0.052,-0.195,0.998,0.294,-0.105,292.23724,42.154289,14.503,0,0
2852941,0.854,0,0,0,0,2.89494709,2.25e-05,-2.25e-05,132.62547,0.0058,-0.0058,0.191,0.266,-0.191,3.254,0.179,-0.179,45.8,3.8,-3.8,1.16,0.34,-0.28,1919.0,3204.25,2992.58,-1774.8,14.3,1.0,1,7087.0,250.0,-428.0,4.137,0.17,-0.187,1.684,0.501,-0.41,291.54343,38.048759,13.458,1,1
7799701,0.0,0,1,1,0,386.828262,0.00355,-0.00355,177.56829,0.00787,-0.00787,0.953,0.046,-0.632,5.045,0.52,-0.52,1020.0,68.9,-68.9,6.54,1.92,-1.72,340.0,3.15,2.73,-1.69,19.7,1.0,1,6384.0,179.0,-247.0,4.107,0.246,-0.164,1.615,0.473,-0.426,281.28546,43.51548,13.637,0,0
4366923,0.0,0,1,0,0,646.2878933,9.46e-05,-9.46e-05,234.150707,0.000103,-0.000103,0.004,0.137,-0.003,5.39144,0.0083,-0.0083,58600.0,64.0,-64.0,43.47,7.75,-10.3,304.0,2.03,0.91,-0.91,1107.1,1.0,1,6582.0,71.0,-84.0,4.069,0.188,-0.116,1.777,0.317,-0.422,292.11526,39.49855,13.03,0,0
12010534,0.0,0,1,0,0,2.581595167,1.06e-06,-1.06e-06,132.947414,0.000349,-0.000349,0.124,0.074,-0.049,4.9153,0.0237,-0.0237,171000.0,614.0,-614.0,40.94,11.6,-6.25,1328.0,735.27,609.16,-267.06,338.2,1.0,1,5720.0,152.0,-169.0,4.407,0.12,-0.18,0.989,0.28,-0.151,290.02682,50.455391,15.35,0,0
7916058,0.0,1,0,0,0,7.1091096,0.000378,-0.000378,133.4379,0.0366,-0.0366,0.663,0.304,-0.44,10.67,1.2,-1.2,157.0,13.3,-13.3,1.08,0.25,-0.1,855.0,126.12,87.02,-34.14,13.0,1.0,1,5665.0,152.0,-169.0,4.568,0.038,-0.152,0.82,0.191,-0.076,299.10294,43.69421,15.71,0,0
8739209,0.0,1,0,0,0,3.6972959,0.000175,-0.000175,131.753,0.0343,-0.0343,0.995,0.028,-0.705,21.335,0.0,0.0,19.7,0.6,-0.6,1.07,0.32,-0.32,1571.0,1438.97,1266.31,-831.78,23.6,1.0,1,6313.0,177.0,-243.0,4.12,0.24,-0.18,1.594,0.474,-0.474,285.04236,44.910477,11.956,0,0
7445445,1.0,0,0,0,0,10.68758211,1.41e-05,-1.41e-05,169.93115,0.00104,-0.00104,0.818,0.018,-0.561,3.3812,0.0415,-0.0415,778.0,10.8,-10.8,2.64,0.69,-0.29,780.0,87.41,66.99,-25.58,78.9,1.0,1,5788.0,155.0,-155.0,4.524,0.06,-0.18,0.848,0.221,-0.095,291.9519,43.074711,14.338,1,2
10471174,0.0,0,0,0,1,0.93369659,1.68e-05,-1.68e-05,131.5867,0.0163,-0.0163,0.57,0.423,-0.345,4.444,0.368,-0.368,81.4,9.5,-9.5,0.78,0.21,-0.07,1680.0,1891.43,1502.87,-513.76,10.8,1.0,1,5619.0,169.0,-186.0,4.558,0.033,-0.176,0.838,0.22,-0.073,292.19583,47.661518,15.983,0,0
5817553,0.0,1,0,1,1,4.206096814,9.43e-06,-9.43e-06,136.44854,0.00183,-0.00183,1.239,0.743,-0.119,10.7381,0.0987,-0.0987,1300.0,10.5,-10.5,32.66,11.0,-3.64,1252.0,581.11,570.28,-179.19,149.3,1.0,1,6306.0,168.0,-205.0,4.426,0.054,-0.202,1.076,0.361,-0.12,298.47424,41.07589,14.081,0,0
9489524,0.999,0,0,0,0,6.8873113,8.94e-05,-8.94e-05,132.0711,0.0109,-0.0109,0.489,0.003,-0.46,2.214,0.282,-0.282,85.3,12.1,-12.1,0.72,0.05,-0.04,788.0,90.91,21.91,-15.66,8.1,3.0,1,5208.0,103.0,-103.0,4.563,0.036,-0.052,0.772,0.055,-0.041,299.89651,46.051971,12.957,1,1
3548044,0.991,0,0,0,0,34.7630543,0.000213,-0.000213,161.74217,0.00531,-0.00531,0.731,0.204,-0.511,4.309,0.134,-0.134,294.0,13.2,-13.2,1.75,0.23,-0.22,554.0,22.23,8.51,-6.6,24.0,1.0,1,5670.0,113.0,-102.0,4.387,0.138,-0.092,0.95,0.124,-0.124,292.32645,38.657581,13.865,1,2
9641041,0.0,0,1,1,1,1.089077863,1.17e-06,-1.17e-06,171.230501,0.000939,-0.000939,0.778,0.032,-0.178,2.4676,0.0333,-0.0333,134.0,1.5,-1.5,1.96,0.41,-0.54,2359.0,7312.11,4420.58,-3871.8,104.8,1.0,1,6280.0,157.0,-173.0,4.098,0.228,-0.123,1.551,0.319,-0.426,288.02454,46.30587,12.217,0,0
8039892,1.0,0,0,0,0,5.007316661,1.39e-06,-1.39e-06,173.433997,0.000219,-0.000219,0.344,0.076,-0.181,4.2362,0.0248,-0.0248,6930.0,19.7,-19.7,6.96,1.75,-0.62,998.0,234.28,170.6,-64.02,431.4,1.0,1,5865.0,146.0,-190.0,4.563,0.042,-0.168,0.827,0.208,-0.074,295.53613,43.884449,15.813,1,2
7106173,0.979,0,0,0,0,6.2321233,0.000125,-0.000125,135.2369,0.0136,-0.0136,0.32,0.137,-0.32,2.85,0.527,-0.527,31.7,4.8,-4.8,0.61,0.1,-0.04,1021.0,256.72,116.08,-51.4,8.5,3.0,1,5843.0,104.0,-127.0,4.421,0.04,-0.12,1.084,0.177,-0.071,287.97885,42.679359,12.857,1,1
12400538,1.0,0,0,0,0,150.2412582,0.000549,-0.000549,138.29013,0.00268,-0.00268,0.345,0.073,-0.345,10.849,0.126,-0.126,2380.0,37.2,-37.2,4.6,0.6,-0.4,327.0,2.72,1.04,-0.63,72.3,1.0,1,5604.0,111.0,-111.0,4.451,0.076,-0.102,0.943,0.123,-0.082,287.28531,51.249981,14.827,1,2
8753657,1.0,0,0,0,0,2.426304127,2.4e-06,-2.4e-06,170.455517,0.000821,-0.000821,0.694,0.177,-0.455,2.6624,0.028,-0.028,185.0,2.2,-2.2,1.41,0.21,-0.08,1302.0,679.12,293.1,-123.5,97.0,1.0,1,5678.0,102.0,-124.0,4.484,0.03,-0.12,0.97,0.15,-0.053,291.84805,44.96822,12.52,1,2
8320630,0.862,0,0,0,0,32.526674,0.000904,-0.000904,137.3054,0.0265,-0.0265,0.472,0.001,-0.472,6.842,0.653,-0.653,205.0,25.0,-25.0,1.26,0.34,-0.11,525.0,17.91,14.51,-4.92,9.7,1.0,1,5668.0,169.0,-186.0,4.545,0.033,-0.187,0.868,0.233,-0.078,298.28214,44.27206,15.23,1,1
9594184,0.507,0,0,1,0,42.093314,0.00133,-0.00133,141.1113,0.0305,-0.0305,0.035,0.42,-0.035,4.649,0.671,-0.671,886.0,142.0,-142.0,2.19,0.17,-0.22,407.0,6.47,2.17,-1.97,7.4,1.0,1,4885.0,174.0,-174.0,4.541,0.072,-0.044,0.763,0.059,-0.079,294.25906,46.221199,16.523,0,0
8822585,0.0,1,0,0,0,1.627538928,8.67e-06,-8.67e-06,131.91531,0.00422,-0.00422,0.769,0.057,-0.522,5.583,0.144,-0.144,39.0,1.5,-1.5,1.42,0.3,-0.4,2520.0,9504.13,5716.28,-5249.63,29.9,1.0,1,6854.0,163.0,-224.0,3.934,0.259,-0.111,2.088,0.433,-0.595,293.30566,45.007969,12.76,0,0
7458433,0.0,0,1,0,1,0.66062715,1.36e-05,-1.36e-05,131.8646,0.0213,-0.0213,1.208,1.117,-0.237,4.56,1.1,-1.1,249.0,43.1,-43.1,26.13,8.48,-2.82,2327.0,6966.29,6617.87,-2110.35,7.8,1.0,1,6322.0,169.0,-206.0,4.426,0.054,-0.216,1.075,0.349,-0.116,295.57947,43.06356,14.162,0,0
2021440,0.0,0,1,1,0,7.81153999,3.31e-05,-3.31e-05,136.33101,0.00339,-0.00339,1.271,14.33,-0.172,5.984,0.165,-0.165,913.0,25.5,-25.5,23.56,3.22,-1.89,718.0,62.96,28.48,-15.76,41.3,1.0,1,5150.0,153.0,-153.0,4.628,0.033,-0.077,0.71,0.097,-0.057,292.96844,37.488689,15.611,0,0
9825625,1.0,0,0,0,0,7.03902016,1.47e-05,-1.47e-05,175.73059,0.00161,-0.00161,0.015,0.353,-0.015,3.8633,0.0487,-0.0487,530.0,11.2,-11.2,2.45,0.8,-0.27,1051.0,288.92,278.92,-88.31,54.3,1.0,1,6321.0,169.0,-206.0,4.434,0.054,-0.216,1.058,0.349,-0.116,289.4317,46.617531,15.067,1,2
4665989,0.0,0,1,0,0,1.124033822,2.16e-07,-2.16e-07,131.62878,0.000158,-0.000158,0.719,0.048,-0.038,5.5728,0.0114,-0.0114,248000.0,380.0,-380.0,98.04,32.9,-15.2,2547.0,9953.28,9865.54,-3965.08,792.9,1.0,1,7141.0,200.0,-300.0,4.208,0.105,-0.21,1.563,0.524,-0.242,294.76398,39.752838,13.016,0,0
2834805,0.76,0,0,0,0,25.0032023,0.000265,-0.000265,140.90106,0.00992,-0.00992,0.756,0.222,-0.51,5.498,0.557,-0.557,64.1,7.3,-7.3,1.47,0.33,-0.38,837.0,116.27,79.06,-59.05,12.6,1.0,1,6148.0,167.0,-186.0,4.055,0.234,-0.126,1.685,0.385,-0.428,286.70145,38.042191,12.55,1,1
6152521,0.0,1,0,0,0,0.94895231,1.03e-05,-1.03e-05,131.85772,0.00821,-0.00821,0.738,0.235,-0.492,3.952,0.364,-0.364,57.7,4.2,-4.2,2.51,0.38,-0.88,3464.0,33931.93,16873.18,-21535.31,18.1,1.0,1,6661.0,209.0,-232.0,3.666,0.304,-0.076,3.067,0.461,-1.077,299.12161,41.42445,12.669,0,0
7256914,0.972,0,0,0,0,4.03357434,4.4e-05,-4.4e-05,134.23275,0.00872,-0.00872,0.855,0.077,-0.576,5.886,0.219,-0.219,66.2,4.6,-4.6,1.23,0.19,-0.26,1270.0,616.04,261.9,-253.48,15.5,2.0,1,5575.0,83.0,-75.0,4.189,0.188,-0.101,1.308,0.208,-0.277,281.82318,42.811169,13.955,1,1
3644399,0.0,1,0,0,1,119.669671,0.00683,-0.00683,176.1667,0.0556,-0.0556,0.332,0.141,-0.332,20.67,1.2,-1.2,422.0,32.6,-32.6,2.21,0.63,-0.26,413.0,6.88,5.8,-2.21,14.2,1.0,1,6382.0,169.0,-226.0,4.432,0.06,-0.18,1.059,0.305,-0.122,291.12909,38.740528,15.493,0,0
