DispositionScore,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag],ExoplanetCandidate,ExoplanetConfirmed
0.0,42.39930429,1.21e-05,-1.21e-05,354.461453,0.000188,-0.000188,0.336,0.003,-0.002,18.3609,0.0128,-0.0128,206000.0,123.0,-123.0,44.7,14.3,-4.46,542.0,20.46,19.83,-6.25,2261.9,1.0,6153.0,191.0,-233.0,4.487,0.052,-0.208,0.962,0.308,-0.096,299.06943,40.515659,15.747,0,0
0.996,5.94228603,7.91e-05,-7.91e-05,133.804,0.0105,-0.0105,0.097,0.367,-0.097,2.169,0.34,-0.34,250.0,40.6,-40.6,1.23,0.04,-0.08,797.0,95.34,13.42,-17.94,7.5,1.0,4891.0,78.0,-78.0,4.516,0.068,-0.02,0.805,0.028,-0.056,289.43896,49.73122,14.779,1,2
1.0,4.89721006,2e-05,-2e-05,133.39852,0.00331,-0.00331,0.66,0.001,-0.516,1.812,0.1,-0.1,274.0,19.5,-19.5,1.48,0.18,-0.18,904.0,157.93,67.81,-49.69,16.9,1.0,5093.0,168.0,-152.0,4.483,0.099,-0.121,0.847,0.102,-0.102,287.27264,41.635559,15.456,1,2
0.0,20.7106853,0.00017,-0.00017,134.03192,0.00673,-0.00673,1.252,0.646,-0.095,42.737,0.357,-0.357,1000.0,7.8,-7.8,89.55,13.3,-28.7,1246.0,570.64,254.71,-339.96,154.4,1.0,6956.0,163.0,-225.0,3.738,0.278,-0.093,2.888,0.428,-0.927,295.21255,50.31691,11.308,0,0
0.999,4.0223109,1.5e-05,-1.5e-05,135.17298,0.00306,-0.00306,0.741,0.228,-0.53,0.853,0.133,-0.133,228.0,27.9,-27.9,1.37,0.31,-0.13,1017.0,253.28,170.33,-68.07,11.0,1.0,5516.0,149.0,-149.0,4.544,0.048,-0.143,0.827,0.187,-0.08,290.04388,44.370602,14.264,1,1
0.0,8.467706136,1.06e-06,-1.06e-06,139.412302,0.000103,-0.000103,1.054,0.016,-0.016,4.05376,0.00499,-0.00499,77300.0,75.4,-75.4,43.98,12.9,-4.33,844.0,120.02,101.76,-32.73,976.0,1.0,5873.0,146.0,-161.0,4.554,0.036,-0.204,0.843,0.248,-0.083,287.12943,43.344131,14.408,0,0
0.223,359.33831,0.0117,-0.0117,152.5082,0.0309,-0.0309,0.176,0.279,-0.176,18.566,0.908,-0.908,978.0,71.7,-71.7,2.33,0.31,-0.29,216.0,0.52,0.26,-0.17,15.8,1.0,5316.0,204.0,-186.0,4.539,0.085,-0.076,0.753,0.102,-0.092,290.14304,41.27755,15.825,1,1
0.0,2.139325409,1.13e-06,-1.13e-06,135.062261,0.000418,-0.000418,1.019,1.09,-0.014,2.8056,0.0227,-0.0227,6900.0,50.8,-50.8,11.61,1.15,-0.94,1007.0,243.34,84.03,-59.38,164.4,1.0,4765.0,130.0,-130.0,4.642,0.032,-0.052,0.666,0.066,-0.054,286.25644,46.89267,14.708,0,0
0.993,11.25401871,6.51e-05,-6.51e-05,136.8901,0.00548,-0.00548,0.603,0.336,-0.379,4.759,0.191,-0.191,433.0,29.2,-29.2,2.42,0.75,-0.4,888.0,147.13,132.97,-57.61,17.0,1.0,5995.0,163.0,-199.0,4.351,0.112,-0.192,1.118,0.344,-0.185,280.25839,43.835758,15.166,1,2
0.861,201.118319,0.00146,-0.00146,187.56986,0.00529,-0.00529,0.001,0.417,-0.001,10.328,0.165,-0.165,585.0,19.2,-19.2,2.28,0.32,-0.2,300.0,1.92,0.77,-0.44,34.7,1.0,5646.0,101.0,-112.0,4.447,0.072,-0.108,0.954,0.135,-0.083,283.11377,48.13139,13.328,1,2
0.998,13.0313583,0.000104,-0.000104,144.11544,0.00662,-0.00662,0.813,0.142,-0.589,4.521,0.16,-0.16,573.0,31.8,-31.8,2.88,0.43,-0.4,774.0,84.94,34.0,-25.17,18.9,1.0,5514.0,74.0,-74.0,4.345,0.132,-0.108,1.071,0.163,-0.148,299.16953,43.44109,15.829,1,2
0.193,7.03380109,2.47e-05,-2.47e-05,174.15772,0.00261,-0.00261,0.861,0.003,-0.597,6.4185,0.0689,-0.0689,139.0,3.4,-3.4,2.61,0.53,-0.79,1320.0,718.45,446.21,-415.44,46.7,1.0,6122.0,181.0,-217.0,4.019,0.234,-0.126,1.934,0.389,-0.584,284.88037,45.134621,13.357,0,0
0.0,12.89301802,5.27e-06,-5.27e-06,141.611199,0.000433,-0.000433,1.241,0.317,-0.173,3.30029,0.00976,-0.00976,16000.0,42.6,-42.6,62.52,17.9,-14.6,1004.0,240.5,203.95,-118.29,453.0,1.0,6387.0,181.0,-227.0,4.178,0.214,-0.175,1.408,0.402,-0.329,294.16989,46.425289,15.517,0,0
0.0,2.102416517,1.31e-06,-1.31e-06,134.394943,0.000535,-0.000535,1.236,9.116,-0.132,1.7684,0.0274,-0.0274,1500.0,19.6,-19.6,29.29,8.7,-2.9,1435.0,1003.06,896.65,-291.17,94.3,1.0,5999.0,180.0,-198.0,4.494,0.05,-0.2,0.959,0.285,-0.095,294.0217,48.390419,15.642,0,0
0.998,33.3856176,0.000141,-0.000141,148.92764,0.00308,-0.00308,0.562,0.345,-0.345,5.0361,0.0934,-0.0934,553.0,15.9,-15.9,2.48,0.7,-0.37,580.0,26.73,22.11,-9.7,37.1,1.0,5833.0,157.0,-175.0,4.407,0.101,-0.188,1.022,0.288,-0.155,295.80658,50.909801,14.264,1,2
0.0,2.621706694,7.64e-06,-7.64e-06,131.88227,0.0026,-0.0026,1.279,45.31,-0.018,1.941,0.115,-0.115,4570.0,232.0,-232.0,34.68,8.46,-5.2,1288.0,648.75,496.27,-239.41,24.3,1.0,5749.0,192.0,-192.0,4.436,0.155,-0.17,0.881,0.215,-0.132,297.38153,48.565041,15.399,0,0
0.0,0.851678507,8.38e-06,-8.38e-06,131.62317,0.00781,-0.00781,0.418,0.044,-0.418,2.028,0.28,-0.28,67.9,9.2,-9.2,0.85,0.22,-0.14,1840.0,2698.28,2163.05,-1028.28,9.1,1.0,5403.0,164.0,-164.0,4.389,0.124,-0.186,1.029,0.272,-0.168,293.10153,38.340618,15.25,0,0
0.0,19.7639874,0.000596,-0.000596,134.17,0.0207,-0.0207,0.489,0.469,-0.281,12.319,0.715,-0.715,51.3,4.5,-4.5,1.19,0.32,-0.4,900.0,155.45,130.03,-96.47,13.5,1.0,6195.0,199.0,-243.0,4.072,0.293,-0.158,1.617,0.44,-0.538,298.35858,47.638592,12.25,0,0
0.0,1.031096352,2.8e-06,-2.8e-06,133.93938,0.00214,-0.00214,0.979,0.175,-0.054,2.781,0.171,-0.171,265.0,10.2,-10.2,2.36,0.8,-0.27,2020.0,3954.46,3947.6,-1250.43,37.8,1.0,6371.0,176.0,-220.0,4.426,0.056,-0.224,1.072,0.363,-0.121,296.14877,47.934872,15.131,0,0
1.0,7.36272124,1.93e-05,-1.93e-05,136.86143,0.00214,-0.00214,0.253,0.198,-0.253,1.3287,0.082,-0.082,429.0,29.7,-29.7,1.86,0.49,-0.16,901.0,155.72,115.25,-40.51,17.8,1.0,5868.0,140.0,-175.0,4.53,0.042,-0.179,0.894,0.231,-0.077,293.82663,38.856621,14.941,1,1
0.899,7.0956395,0.000119,-0.000119,135.0007,0.0112,-0.0112,0.06,0.412,-0.06,3.465,0.475,-0.475,108.0,11.3,-11.3,1.2,0.19,-0.24,989.0,225.73,98.1,-88.68,10.5,2.0,5480.0,82.0,-74.0,4.26,0.18,-0.12,1.174,0.191,-0.234,290.57672,39.95689,15.017,1,1
1.0,3.55557922,2.36e-05,-2.36e-05,132.75203,0.00535,-0.00535,0.269,0.187,-0.269,3.24,0.159,-0.159,60.4,4.5,-4.5,0.84,0.23,-0.15,1270.0,615.03,488.45,-247.94,15.5,1.0,5839.0,147.0,-161.0,4.337,0.153,-0.187,1.082,0.297,-0.198,294.99585,45.119579,13.845,1,1
0.0,32.77897303,8.45e-06,-8.45e-06,136.182037,0.000205,-0.000205,0.496,0.004,-0.004,19.1378,0.0121,-0.0121,410000.0,228.0,-228.0,69.08,20.3,-7.24,588.0,28.29,24.5,-8.3,2126.1,1.0,6122.0,169.0,-190.0,4.487,0.05,-0.2,0.964,0.283,-0.101,296.59042,47.416908,14.52,0,0
1.0,36.4454001,0.000181,-0.000181,151.60125,0.00392,-0.00392,0.028,0.437,-0.028,4.007,0.126,-0.126,1120.0,53.4,-53.4,1.99,0.09,-0.09,332.0,2.88,0.51,-0.47,21.7,3.0,4126.0,82.0,-82.0,4.661,0.022,-0.022,0.615,0.027,-0.029,286.73804,49.97575,15.095,1,2
0.365,70.468171,0.000268,-0.000268,189.15822,0.00345,-0.00345,0.031,0.433,-0.031,6.653,0.12,-0.12,922.0,23.9,-23.9,3.46,1.11,-0.37,511.0,16.17,14.92,-4.98,45.0,1.0,6461.0,158.0,-225.0,4.396,0.067,-0.202,1.131,0.363,-0.121,293.87988,41.393822,14.811,1,1
0.409,137.665706,0.00183,-0.00183,240.44616,0.00928,-0.00928,0.041,0.416,-0.041,3.732,0.266,-0.266,537.0,54.0,-54.0,15.41,1.06,-2.48,720.0,63.38,12.08,-21.59,11.7,1.0,4832.0,50.0,-79.0,2.953,0.03,-0.027,6.897,0.475,-1.109,288.05292,38.93792,13.199,0,0
0.0,259.85736,0.0151,-0.0151,291.1798,0.0528,-0.0528,0.512,0.079,-0.429,24.04,1.7,-1.7,308.0,26.4,-26.4,1.33,0.22,-0.1,237.0,0.74,0.39,-0.17,14.2,1.0,5374.0,159.0,-143.0,4.61,0.037,-0.105,0.744,0.122,-0.057,289.86804,44.96003,14.458,0,0
0.987,36.292017,0.000344,-0.000344,132.17691,0.00784,-0.00784,0.002,0.452,-0.002,8.198,0.225,-0.225,375.0,19.8,-19.8,3.1,0.48,-0.66,694.0,54.91,22.52,-22.8,21.4,1.0,5843.0,79.0,-79.0,4.069,0.182,-0.084,1.615,0.252,-0.346,295.23926,42.726479,15.251,1,2
1.0,34.3511339,0.000151,-0.000151,134.19046,0.00343,-0.00343,0.88,0.029,-0.643,4.4408,0.0987,-0.0987,599.0,23.8,-23.8,2.75,0.93,-0.29,576.0,26.1,25.87,-7.92,28.8,1.0,6091.0,169.0,-211.0,4.487,0.054,-0.216,0.967,0.325,-0.101,291.03363,42.26786,14.998,1,2
1.0,26.39432897,5.72e-05,-5.72e-05,176.05459,0.00176,-0.00176,0.602,0.25,-0.396,3.573,0.0643,-0.0643,1510.0,36.3,-36.3,3.07,0.41,-0.22,489.0,13.49,6.07,-3.21,48.2,1.0,5129.0,154.0,-154.0,4.595,0.03,-0.084,0.763,0.103,-0.055,289.39972,51.25032,15.234,1,2
1.0,28.78270955,9.17e-05,-9.17e-05,132.3189,0.00241,-0.00241,0.002,0.501,-0.001,3.451,0.108,-0.108,865.0,25.7,-25.7,2.11,0.09,-0.11,443.0,9.09,1.53,-1.37,40.1,1.0,4774.0,86.0,-76.0,4.58,0.03,-0.03,0.745,0.032,-0.036,284.96967,39.360291,14.649,1,1
0.0,1.009671584,8.9e-08,-8.9e-08,131.5869372,7.26e-05,-7.26e-05,0.864,0.02,-0.021,4.37759,0.00426,-0.00426,155000.0,98.9,-98.9,125.31,27.2,-40.7,3287.0,27692.04,18019.48,-17038.38,1440.7,1.0,7652.0,211.0,-316.0,3.974,0.234,-0.136,2.242,0.486,-0.729,286.29077,47.076221,13.918,0,0
0.0,1.075158342,8.62e-06,-8.62e-06,131.7092,0.00655,-0.00655,0.157,0.303,-0.157,1.295,0.429,-0.429,30.2,5.8,-5.8,20.09,2.65,-4.16,6988.0,565413.02,225128.97,-245918.84,8.0,1.0,4067.0,90.0,-107.0,1.541,0.03,-0.03,38.446,5.067,-7.963,286.83789,46.830837,12.032,0,0
0.867,2.48658617,2.4e-06,-2.4e-06,134.110364,0.000781,-0.000781,0.079,0.192,-0.079,2.7189,0.0394,-0.0394,42100.0,549.0,-549.0,24.39,7.64,-3.28,1461.0,1077.69,1009.67,-378.33,91.6,1.0,5892.0,174.0,-208.0,4.35,0.087,-0.203,1.198,0.375,-0.161,289.80521,46.491711,15.418,0,0
0.0,8.209514329,1.4e-07,-1.4e-07,134.0632157,1.4e-05,-1.4e-05,1.079,0.051,-0.137,4.14104,0.00191,-0.00191,141000.0,1.3,-1.3,149.52,35.8,-66.4,1371.0,834.79,621.79,-615.53,6579.3,1.0,6258.0,203.0,-248.0,3.882,0.464,-0.116,2.111,0.505,-0.938,298.44855,45.104176,12.121,0,0
0.006,25.166806,0.0051,-0.0051,150.271,0.0157,-0.0157,0.65,0.353,-0.424,2.111,0.395,-0.395,1350.0,257.0,-257.0,2.72,0.28,-0.28,483.0,12.84,5.07,-3.87,7.2,1.0,5013.0,176.0,-176.0,4.574,0.078,-0.054,0.704,0.072,-0.072,291.875,43.626709,15.743,0,0
1.0,8.30865307,1.03e-05,-1.03e-05,138.10788,0.00102,-0.00102,0.333,0.098,-0.333,3.2747,0.0353,-0.0353,836.0,12.7,-12.7,2.42,0.11,-0.19,747.0,73.53,12.36,-14.88,74.3,1.0,5022.0,80.0,-80.0,4.485,0.077,-0.033,0.849,0.04,-0.066,291.6409,41.241039,14.817,1,2
1.0,15.37562369,1.02e-05,-1.02e-05,173.61402,0.000608,-0.000608,0.692,0.033,-0.066,3.3169,0.0645,-0.0645,15300.0,114.0,-114.0,11.01,0.44,-0.82,600.0,30.54,4.61,-5.99,166.0,1.0,4986.0,79.0,-79.0,4.496,0.075,-0.025,0.833,0.033,-0.062,283.25354,40.358189,16.422,1,2
1.0,10.03538181,6.48e-06,-6.48e-06,137.471481,0.00054,-0.00054,0.079,0.284,-0.079,3.4062,0.0265,-0.0265,2830.0,21.7,-21.7,4.42,1.13,-0.38,786.0,90.33,68.12,-23.39,150.9,1.0,5813.0,157.0,-174.0,4.561,0.042,-0.168,0.833,0.213,-0.071,296.23511,39.370338,15.062,1,2
0.0,5.663621501,6.71e-06,-6.71e-06,133.89009,0.00105,-0.00105,0.169,0.27,-0.169,1.2968,0.0371,-0.0371,1230.0,36.0,-36.0,2.47,0.24,-0.19,774.0,84.76,29.76,-20.31,39.8,1.0,4917.0,148.0,-133.0,4.601,0.036,-0.054,0.723,0.069,-0.057,284.79102,45.228989,15.444,0,0
0.986,51.567801,0.000614,-0.000614,168.873,0.0107,-0.0107,0.554,0.389,-0.346,5.514,0.29,-0.29,210.0,18.0,-18.0,1.3,0.24,-0.18,433.0,8.3,5.03,-2.94,13.5,1.0,5285.0,185.0,-185.0,4.467,0.104,-0.138,0.876,0.16,-0.12,295.12238,39.391033,13.882,1,1
0.99,46.8776724,0.000311,-0.000311,137.66791,0.00575,-0.00575,0.834,0.09,-0.593,10.041,0.166,-0.166,540.0,16.3,-16.3,2.62,0.35,-0.23,484.0,13.01,4.54,-2.81,37.5,1.0,5504.0,74.0,-82.0,4.418,0.09,-0.099,0.993,0.13,-0.087,286.02518,39.630932,14.632,1,2
1.0,19.44639139,2.56e-05,-2.56e-05,170.10238,0.00105,-0.00105,0.813,0.067,-0.566,3.6227,0.0558,-0.0558,926.0,12.0,-12.0,3.24,0.89,-0.48,681.0,50.73,40.8,-18.03,82.4,1.0,5815.0,157.0,-174.0,4.421,0.12,-0.18,0.954,0.261,-0.14,297.2789,43.724018,14.248,1,2
0.992,4.069425638,4.34e-06,-4.34e-06,171.017743,0.000857,-0.000857,0.102,0.335,-0.102,2.0396,0.0314,-0.0314,549.0,9.3,-9.3,1.53,0.11,-0.04,802.0,97.72,22.8,-13.04,68.0,1.0,4671.0,93.0,-93.0,4.636,0.012,-0.042,0.68,0.046,-0.021,282.97342,41.32201,13.872,1,2
0.961,76.13622222,5.2e-05,-5.2e-05,199.476237,0.000554,-0.000554,0.044,0.253,-0.044,7.9393,0.0329,-0.0329,2950.0,10.0,-10.0,4.78,0.6,-0.31,399.0,6.01,2.24,-1.15,339.4,1.0,5591.0,111.0,-111.0,4.494,0.053,-0.098,0.892,0.113,-0.057,288.84863,51.209049,12.45,1,2
1.0,4.9213639,4.01e-06,-4.01e-06,174.299322,0.000661,-0.000661,0.026,0.359,-0.026,1.8806,0.0205,-0.0205,761.0,11.0,-11.0,2.14,0.14,-0.11,868.0,134.02,30.09,-23.31,77.7,1.0,5076.0,101.0,-101.0,4.55,0.036,-0.05,0.799,0.051,-0.043,290.51648,43.08382,14.196,1,2
0.0,1.061935973,1.04e-06,-1.04e-06,131.723748,0.00086,-0.00086,1.19,0.461,-0.092,3.3177,0.0453,-0.0453,338.0,4.1,-4.1,24.17,7.94,-2.64,1961.0,3479.87,3352.05,-1063.85,101.2,1.0,6274.0,169.0,-206.0,4.434,0.054,-0.216,1.062,0.349,-0.116,288.90982,44.60836,14.126,0,0
1.0,1.217000383,2.87e-06,-2.87e-06,132.03128,0.00193,-0.00193,0.028,0.422,-0.028,1.3285,0.0701,-0.0701,460.0,21.6,-21.6,1.58,0.11,-0.15,1314.0,707.61,203.68,-194.33,26.5,1.0,4859.0,145.0,-145.0,4.545,0.072,-0.039,0.757,0.053,-0.072,295.93842,49.791142,15.975,1,2
0.0,4.012537983,1.58e-06,-1.58e-06,134.652406,0.000331,-0.000331,0.783,0.034,-0.003,2.0101,0.0302,-0.0302,19800.0,180.0,-180.0,9.96,0.71,-0.98,765.0,80.95,22.33,-22.62,166.0,1.0,4483.0,120.0,-133.0,4.629,0.056,-0.024,0.63,0.045,-0.062,298.57599,44.683788,15.381,0,0
1.0,20.35971899,5.48e-05,-5.48e-05,134.29123,0.00218,-0.00218,0.925,0.005,-0.693,2.1521,0.0621,-0.0621,346.0,15.2,-15.2,0.8,0.12,-0.16,276.0,1.38,0.58,-0.58,26.8,1.0,3419.0,67.0,-76.0,4.904,0.084,-0.052,0.344,0.051,-0.07,289.27451,44.470322,13.393,1,2
0.967,6.5595368,0.000117,-0.000117,132.0079,0.0175,-0.0175,0.378,0.095,-0.378,4.324,0.684,-0.684,26.3,3.0,-3.0,0.62,0.12,-0.08,1079.0,320.09,160.41,-91.72,10.1,2.0,5950.0,71.0,-83.0,4.323,0.096,-0.144,1.196,0.235,-0.157,294.12488,46.67289,12.788,1,1
0.0,3.381607,0.00183,-0.00183,132.92656,0.0092,-0.0092,0.088,0.362,-0.088,7.627,0.381,-0.381,441.0,30.3,-30.3,117.25,27.8,-38.2,6037.0,314164.85,232594.75,-187591.92,16.6,1.0,3974.0,130.0,-118.0,1.056,0.318,-0.212,59.437,14.085,-19.366,296.08136,47.275814,12.798,0,0
0.961,31.4202111,0.000426,-0.000426,132.7457,0.0118,-0.0118,0.075,0.399,-0.075,4.021,0.271,-0.271,391.0,41.9,-41.9,1.45,0.21,-0.12,471.0,11.6,5.66,-2.91,10.6,1.0,5269.0,158.0,-158.0,4.603,0.032,-0.097,0.748,0.112,-0.06,292.18646,41.328041,15.809,1,1
0.0,33.93373447,6.15e-05,-6.15e-05,186.67608,0.00137,-0.00137,0.812,0.006,-0.009,14.561,0.104,-0.104,8500.0,44.3,-44.3,7.34,0.9,-0.6,430.0,8.11,3.25,-2.06,236.1,1.0,5040.0,136.0,-151.0,4.628,0.03,-0.07,0.705,0.086,-0.058,284.17233,49.360722,15.716,0,0
1.0,8.96847034,3.09e-05,-3.09e-05,139.39473,0.00253,-0.00253,0.558,0.057,-0.45,4.4073,0.082,-0.082,234.0,6.8,-6.8,2.17,0.35,-0.39,1024.0,259.95,116.38,-98.45,38.2,1.0,5808.0,105.0,-117.0,4.185,0.176,-0.108,1.374,0.221,-0.246,291.96069,42.43301,14.128,1,2
1.0,3.219814777,5.53e-06,-5.53e-06,133.00406,0.00134,-0.00134,0.06,0.4,-0.06,2.0642,0.0392,-0.0392,488.0,17.6,-17.6,1.69,0.11,-0.08,998.0,234.93,53.16,-39.02,30.5,3.0,5103.0,101.0,-101.0,4.562,0.032,-0.052,0.787,0.051,-0.039,291.63898,42.436321,15.599,1,2
1.0,5.747711909,7.49e-06,-7.49e-06,133.29939,0.00111,-0.00111,0.575,0.051,-0.454,1.8923,0.04,-0.04,820.0,18.5,-18.5,1.86,0.07,-0.09,641.0,40.07,6.76,-6.61,51.7,1.0,4252.0,84.0,-84.0,4.64,0.03,-0.017,0.632,0.025,-0.031,291.90326,37.90229,14.496,1,2
0.0,10.73370737,1.06e-05,-1.06e-05,141.11176,0.000815,-0.000815,0.895,0.003,-0.003,7.6706,0.0467,-0.0467,6160.0,34.9,-34.9,18.7,3.73,-8.1,1171.0,444.77,277.54,-320.24,239.5,1.0,5971.0,183.0,-201.0,3.914,0.448,-0.112,2.003,0.4,-0.868,297.73981,43.510319,13.602,0,0
0.185,290.196139,0.00563,-0.00563,264.8759,0.0119,-0.0119,0.017,0.432,-0.017,13.698,0.518,-0.518,281.0,20.1,-20.1,2.35,0.77,-0.5,341.0,3.2,3.14,-1.51,15.7,1.0,6238.0,195.0,-239.0,4.224,0.162,-0.198,1.403,0.453,-0.302,286.73245,49.683189,13.511,1,1
0.0,265.2996227,8.84e-05,-8.84e-05,316.91977,0.000227,-0.000227,0.798,0.029,-0.022,8.8452,0.0187,-0.0187,100000.0,276.0,-276.0,33.81,8.81,-2.94,270.0,1.25,0.93,-0.33,616.3,1.0,5873.0,139.0,-174.0,4.547,0.033,-0.187,0.863,0.225,-0.075,290.38962,45.681438,15.518,0,0
1.0,9.9092109,0.000216,-0.000216,133.092,0.0189,-0.0189,0.755,0.039,-0.533,2.552,0.485,-0.485,942.0,192.0,-192.0,2.35,0.4,-0.17,693.0,54.54,31.38,-14.03,6.4,1.0,5396.0,194.0,-194.0,4.632,0.032,-0.104,0.702,0.119,-0.051,299.66617,43.619469,15.96,1,1
0.933,71.52543938,9.47e-05,-9.47e-05,191.69147,0.00104,-0.00104,0.066,0.293,-0.066,5.9189,0.0564,-0.0564,5900.0,59.5,-59.5,5.76,0.22,-0.35,340.0,3.15,0.46,-0.56,111.3,1.0,4855.0,77.0,-87.0,4.542,0.056,-0.02,0.778,0.029,-0.047,287.73755,38.114559,14.521,1,2
0.0,141.7340306,5.01e-05,-5.01e-05,167.345982,0.00029,-0.00029,0.912,0.052,-0.021,1.5851,0.0321,-0.0321,7740.0,76.6,-76.6,10.3,1.38,-0.74,329.0,2.77,1.09,-0.55,157.4,1.0,5606.0,112.0,-101.0,4.478,0.056,-0.112,0.918,0.123,-0.066,288.43912,43.505249,13.891,1,1
0.994,52.09081627,4.21e-05,-4.21e-05,158.744665,0.00067,-0.00067,0.065,0.113,-0.065,8.6388,0.0228,-0.0228,2890.0,12.6,-12.6,7.14,1.33,-1.09,592.0,29.07,14.87,-9.97,243.5,1.0,6198.0,111.0,-136.0,4.237,0.13,-0.117,1.324,0.247,-0.202,300.51712,44.38158,13.914,1,2
0.0,8.4803048,1.76e-05,-1.76e-05,135.85228,0.0017,-0.0017,0.027,0.177,-0.027,7.5348,0.0541,-0.0541,2670.0,47.8,-47.8,4.13,0.96,-0.38,777.0,86.01,62.45,-23.26,70.1,1.0,5478.0,180.0,-164.0,4.573,0.038,-0.142,0.812,0.188,-0.075,298.79437,46.680771,15.736,0,0
0.673,8.2942929,0.000152,-0.000152,134.8478,0.0152,-0.0152,0.006,0.455,-0.006,3.976,0.385,-0.385,36.8,4.1,-4.1,0.65,0.1,-0.04,928.0,175.39,79.3,-35.11,10.1,2.0,5843.0,104.0,-127.0,4.421,0.04,-0.12,1.084,0.177,-0.071,287.97885,42.679359,12.857,1,1
0.0,7.06115081,1.16e-05,-1.16e-05,169.86425,0.00137,-0.00137,2.824,32.41,-0.125,3.547,0.0638,-0.0638,1530.0,28.5,-28.5,171.85,39.9,-14.4,886.0,145.61,98.17,-37.24,60.4,1.0,5795.0,143.0,-172.0,4.554,0.04,-0.16,0.848,0.197,-0.071,284.67569,47.339211,15.592,0,0
0.0,1.237147407,4.2e-08,-4.2e-08,132.6581514,2.82e-05,-2.82e-05,0.466,0.002,-0.002,7.06623,0.00226,-0.00226,435000.0,99.7,-99.7,106.18,18.3,-20.3,2107.0,4680.26,2109.48,-1780.67,5557.4,1.0,6064.0,82.0,-82.0,4.16,0.168,-0.112,1.449,0.25,-0.277,289.02982,39.951889,13.82,0,0
0.0,1.818939148,3.45e-06,-3.45e-06,133.12299,0.00156,-0.00156,0.56,0.369,-0.56,1.644,0.321,-0.321,331.0,17.1,-17.1,1.82,0.55,-0.18,1549.0,1364.15,1227.34,-395.19,39.3,1.0,6153.0,174.0,-196.0,4.487,0.052,-0.208,0.962,0.292,-0.097,293.87265,46.714951,15.134,0,0
0.001,5.548250634,9e-07,-9e-07,133.219686,0.000145,-0.000145,0.296,0.033,-0.025,6.06772,0.00771,-0.00771,42900.0,44.3,-44.3,21.49,6.78,-2.72,1088.0,331.99,318.14,-115.51,1170.5,1.0,6124.0,193.0,-236.0,4.455,0.052,-0.208,1.028,0.324,-0.13,295.88867,39.911301,15.752,0,0
0.0,2.316171991,1.11e-07,-1.11e-07,132.311636,3.95e-05,-3.95e-05,0.7,0.013,-0.012,4.03025,0.00119,-0.00119,251000.0,34.7,-34.7,49.53,12.8,-3.43,1288.0,651.03,482.78,-151.34,2338.3,1.0,5932.0,141.0,-177.0,4.58,0.033,-0.176,0.795,0.206,-0.055,295.37515,42.75378,13.969,0,0
1.0,23.08902241,2.41e-05,-2.41e-05,171.007634,0.000811,-0.000811,0.32,0.1,-0.32,1.7012,0.0301,-0.0301,598.0,11.7,-11.7,1.24,0.08,-0.12,338.0,3.1,0.7,-0.78,57.4,2.0,3846.0,77.0,-84.0,4.738,0.052,-0.024,0.503,0.032,-0.048,290.3815,43.292988,12.925,1,2
0.0,0.866344816,1.6e-06,-1.6e-06,132.06358,0.00163,-0.00163,0.318,0.135,-0.318,1.9188,0.0547,-0.0547,234.0,6.0,-6.0,6.85,1.52,-0.16,3569.0,38575.44,24242.58,-3799.76,46.5,1.0,4936.0,109.0,-69.0,3.055,0.028,-0.031,4.527,1.003,-0.106,296.13901,39.579632,12.945,0,0
1.0,11.6370303,3.09e-05,-3.09e-05,178.84448,0.00201,-0.00201,0.066,0.363,-0.066,3.3372,0.0683,-0.0683,604.0,18.4,-18.4,2.9,0.45,-0.49,857.0,127.46,53.01,-44.34,36.4,1.0,5576.0,83.0,-75.0,4.257,0.168,-0.112,1.198,0.186,-0.204,293.53085,39.315891,14.943,1,2
1.0,11.97884409,5.75e-05,-5.75e-05,178.96957,0.00379,-0.00379,0.073,0.398,-0.073,3.751,0.119,-0.119,708.0,27.5,-27.5,2.11,0.15,-0.13,678.0,49.87,12.44,-9.28,27.8,2.0,5296.0,106.0,-106.0,4.538,0.044,-0.061,0.808,0.06,-0.049,295.76614,42.424278,15.956,1,2
