DispositionScore,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag],ExoplanetCandidate,ExoplanetConfirmed
0.0,0.791771167,7.31e-07,-7.31e-07,131.523083,0.000766,-0.000766,1.224,0.504,-0.155,2.4463,0.0405,-0.0405,509.0,7.2,-7.2,82.71,11.7,-46.7,3419.0,32163.04,15247.35,-26948.04,82.4,1.0,6218.0,196.0,-239.0,3.678,0.535,-0.094,3.07,0.433,-1.733,291.48654,39.211723,13.852,0,0
1.0,5.77957133,2.38e-05,-2.38e-05,136.53014,0.0036,-0.0036,0.946,0.004,-0.656,2.5213,0.085,-0.085,397.0,24.3,-24.3,1.5,0.08,-0.08,598.0,30.22,6.04,-5.21,18.9,1.0,4102.0,81.0,-81.0,4.687,0.022,-0.027,0.581,0.031,-0.031,289.74277,50.787041,15.484,1,2
0.216,11.6089351,0.000149,-0.000149,142.73625,0.00904,-0.00904,1.105,7.342,-0.063,2.957,0.499,-0.499,200.0,28.9,-28.9,46.44,3.35,-14.2,1496.0,1184.51,248.82,-640.6,8.7,2.0,6303.0,82.0,-75.0,3.595,0.263,-0.031,3.53,0.254,-1.08,297.1243,47.037022,13.487,1,1
0.931,3.4327371,2.77e-05,-2.77e-05,132.92055,0.00703,-0.00703,0.703,0.255,-0.506,4.001,0.2,-0.2,63.2,4.7,-4.7,0.75,0.22,-0.07,1134.0,390.57,329.66,-102.03,15.3,1.0,5757.0,138.0,-156.0,4.536,0.036,-0.204,0.881,0.26,-0.081,288.57358,51.472752,13.583,1,2
1.0,1.530515205,1.68e-06,-1.68e-06,131.867506,0.000913,-0.000913,0.882,0.059,-0.662,0.5945,0.0528,-0.0528,660.0,30.5,-30.5,0.84,0.17,-0.15,608.0,32.46,19.25,-11.82,23.2,1.0,3462.0,76.0,-69.0,5.004,0.065,-0.065,0.259,0.054,-0.044,294.46848,44.75396,15.63,1,1
0.922,5.42204257,6.85e-05,-6.85e-05,133.46021,0.00864,-0.00864,0.94,0.037,-0.64,2.952,0.223,-0.223,79.1,8.2,-8.2,1.39,0.26,-0.21,1222.0,527.11,272.08,-178.89,10.7,2.0,6123.0,122.0,-134.0,4.263,0.137,-0.112,1.263,0.232,-0.19,286.3443,37.411968,13.925,1,1
1.0,105.8817667,0.000131,-0.000131,156.97935,0.00101,-0.00101,0.539,0.044,-0.149,18.044,0.102,-0.102,1560.0,6.3,-6.3,10.16,0.94,-1.27,595.0,29.64,7.72,-8.11,301.8,1.0,5903.0,79.0,-79.0,3.757,0.078,-0.052,2.499,0.233,-0.311,291.49722,42.728481,10.775,1,1
0.001,2.93101771,2.3e-05,-2.3e-05,131.92959,0.00641,-0.00641,0.523,0.436,-0.315,2.231,0.188,-0.188,199.0,16.3,-16.3,1.15,0.17,-0.15,1134.0,390.28,196.17,-127.35,15.0,1.0,5485.0,163.0,-163.0,4.5,0.11,-0.11,0.788,0.123,-0.101,283.02725,47.249882,15.484,0,0
0.951,36.2580749,0.000501,-0.000501,146.8338,0.0121,-0.0121,0.786,0.189,-0.531,5.917,0.377,-0.377,380.0,35.1,-35.1,1.82,0.43,-0.15,516.0,16.7,11.45,-4.28,12.5,1.0,5818.0,145.0,-174.0,4.554,0.04,-0.16,0.848,0.2,-0.071,293.2244,40.931931,15.553,1,1
0.0,223.1127475,0.00029,-0.00029,140.947135,0.000892,-0.000892,1.266,0.17,-0.094,8.9683,0.0509,-0.0509,11500.0,61.4,-61.4,46.33,13.8,-6.36,332.0,2.87,2.52,-1.0,224.5,1.0,6211.0,169.0,-206.0,4.389,0.105,-0.195,1.056,0.315,-0.145,291.63467,44.647598,14.38,0,0
0.0,19.229478,0.00126,-0.00126,132.5889,0.0407,-0.0407,0.699,0.009,-0.526,4.68,3.8,-3.8,116.0,14.1,-14.1,1.97,0.61,-0.51,970.0,209.42,193.27,-110.26,8.1,1.0,6654.0,187.0,-258.0,4.113,0.204,-0.185,1.712,0.534,-0.437,294.47092,46.592979,14.429,0,0
0.0,0.592618966,1.64e-06,-1.64e-06,132.09892,0.00238,-0.00238,0.083,0.372,-0.083,0.811,0.112,-0.112,91.4,9.1,-9.1,0.86,0.26,-0.09,2103.0,4626.58,4221.6,-1286.95,14.9,1.0,5926.0,160.0,-178.0,4.532,0.039,-0.221,0.887,0.276,-0.086,286.45126,42.012489,14.973,0,0
0.0,0.986620248,1.5e-06,-1.5e-06,448.5959,0.00114,-0.00114,1.252,0.459,-0.159,3.9722,0.0502,-0.0502,1350.0,14.0,-14.0,43.98,12.0,-12.0,2308.0,6719.67,5609.21,-3684.95,117.7,1.0,6243.0,197.0,-241.0,4.176,0.246,-0.164,1.385,0.378,-0.378,301.40067,44.318039,15.022,0,0
0.0,1.332562831,6.86e-06,-6.86e-06,132.05088,0.00496,-0.00496,1.241,0.54,-0.09,6.24,0.228,-0.228,298.0,9.6,-9.6,24.29,5.85,-1.95,1532.0,1301.29,926.14,-325.04,37.3,1.0,5718.0,153.0,-170.0,4.549,0.04,-0.16,0.863,0.208,-0.069,295.21036,46.749321,15.846,0,0
0.0,24.2382519,0.000292,-0.000292,136.62118,0.00859,-0.00859,0.82,0.003,-0.585,2.703,0.24,-0.24,466.0,49.5,-49.5,2.19,0.66,-0.18,597.0,29.92,27.52,-8.0,11.3,2.0,5763.0,182.0,-202.0,4.527,0.036,-0.204,0.904,0.273,-0.073,291.28296,43.608238,15.752,0,0
0.0,0.566780836,6.53e-06,-6.53e-06,131.8749,0.0104,-0.0104,0.005,0.492,-0.005,4.937,0.331,-0.331,60.9,6.5,-6.5,0.75,0.22,-0.08,2204.0,5608.62,4985.45,-1697.83,18.7,1.0,5949.0,184.0,-226.0,4.493,0.05,-0.2,0.962,0.282,-0.094,291.74335,42.769482,15.328,0,0
0.0,6.277827312,8.31e-06,-8.31e-06,172.5786,0.00107,-0.00107,0.95,0.002,-0.002,8.6841,0.0609,-0.0609,1860.0,17.4,-17.4,4.87,1.49,-0.5,985.0,222.45,199.87,-63.76,191.3,1.0,6077.0,164.0,-183.0,4.526,0.038,-0.212,0.891,0.273,-0.091,298.02615,39.918331,13.851,0,0
1.0,31.33046135,3.98e-05,-3.98e-05,153.43031,0.00103,-0.00103,0.798,0.021,-0.043,5.176,0.102,-0.102,5070.0,48.4,-48.4,6.5,0.64,-0.23,481.0,12.61,3.84,-1.79,117.2,1.0,5251.0,105.0,-105.0,4.581,0.01,-0.085,0.817,0.08,-0.029,292.23676,41.08588,15.855,1,2
1.0,36.9250409,0.000117,-0.000117,174.22246,0.00236,-0.00236,0.838,0.043,-0.611,4.9381,0.0738,-0.0738,902.0,24.3,-24.3,3.01,0.88,-0.29,530.0,18.7,16.02,-5.2,39.3,2.0,5926.0,160.0,-178.0,4.532,0.036,-0.204,0.887,0.259,-0.086,288.21194,46.615002,15.219,1,2
1.0,3.162692075,3.02e-06,-3.02e-06,169.64186,0.000771,-0.000771,0.716,0.018,-0.508,1.9529,0.0263,-0.0263,504.0,7.6,-7.6,2.61,0.39,-0.35,1308.0,692.32,286.81,-214.24,75.4,1.0,5821.0,105.0,-117.0,4.355,0.121,-0.11,1.085,0.16,-0.146,297.09,41.388031,13.989,1,2
0.0,1.99638423,6.11e-05,-6.11e-05,131.5598,0.0382,-0.0382,0.223,0.225,-0.223,2.4,1.5,-1.5,29.4,3.9,-3.9,0.59,0.19,-0.07,1590.0,1505.17,1457.85,-469.33,6.2,1.0,6249.0,174.0,-217.0,4.428,0.056,-0.224,1.076,0.353,-0.118,295.60205,40.175331,14.099,0,0
0.0,12.26486736,3e-06,-3e-06,139.304999,0.000198,-0.000198,0.818,0.003,-0.003,4.7366,0.0149,-0.0149,11300.0,25.6,-25.6,28.29,4.52,-9.04,1077.0,317.89,137.57,-178.64,560.2,1.0,5372.0,85.0,-74.0,3.81,0.232,-0.077,2.344,0.375,-0.749,284.64886,41.015018,14.137,0,0
0.988,3.39904814,4.61e-05,-4.61e-05,134.6684,0.0123,-0.0123,0.596,0.371,-0.394,2.922,0.447,-0.447,69.6,12.0,-12.0,0.81,0.2,-0.12,1191.0,477.15,358.65,-159.06,8.1,1.0,5766.0,155.0,-155.0,4.444,0.112,-0.182,0.929,0.237,-0.128,289.84286,38.237049,14.803,1,1
0.967,1.183505016,7.33e-06,-7.33e-06,131.75303,0.00505,-0.00505,0.403,0.057,-0.403,1.275,0.173,-0.173,117.0,15.3,-15.3,0.8,0.07,-0.06,1293.0,658.87,227.3,-169.6,10.0,1.0,4832.0,168.0,-168.0,4.592,0.032,-0.05,0.746,0.062,-0.056,290.6864,38.355598,15.424,1,1
1.0,1.54320541,3.84e-06,-3.84e-06,131.5554,0.00191,-0.00191,0.217,0.226,-0.217,2.5779,0.0539,-0.0539,91.2,3.0,-3.0,1.23,0.19,-0.25,1827.0,2636.85,1181.88,-1069.59,35.2,1.0,5866.0,105.0,-117.0,4.2,0.182,-0.112,1.282,0.207,-0.253,289.35867,50.59848,13.38,1,2
0.0,36.1826854,0.000179,-0.000179,144.69811,0.00634,-0.00634,1.267,6.674,-0.107,4.2546,0.0408,-0.0408,9470.0,88.1,-88.1,56.41,15.2,-18.7,635.0,38.4,32.06,-23.15,124.1,1.0,5696.0,186.0,-169.0,4.151,0.325,-0.175,1.321,0.357,-0.437,280.1925,43.302479,14.824,0,0
0.0,19.97867,5.87e-05,-5.87e-05,137.17061,0.0024,-0.0024,0.923,0.006,-0.011,10.168,0.178,-0.178,944.0,13.0,-13.0,6.85,2.9,-1.56,1351.0,788.02,997.18,-402.86,86.2,1.0,9651.0,272.0,-467.0,4.229,0.126,-0.234,1.895,0.803,-0.432,299.15353,40.286961,13.849,0,0
0.0,9.469191607,5.89e-07,-5.89e-07,140.9753434,5.11e-05,-5.11e-05,0.627,0.001,-0.001,9.55999,0.00257,-0.00257,63500.0,18.3,-18.3,49.17,21.7,-10.9,1679.0,1875.84,2543.21,-924.35,4419.3,1.0,9454.0,301.0,-414.0,4.244,0.108,-0.234,1.832,0.809,-0.405,298.89075,42.209862,13.292,0,0
0.0,37.86511904,1.56e-05,-1.56e-05,198.599331,0.000301,-0.000301,1.28,3.224,-0.127,2.9799,0.0187,-0.0187,6940.0,37.7,-37.7,40.36,13.0,-4.03,535.0,19.31,18.11,-5.6,222.3,1.0,5858.0,156.0,-191.0,4.495,0.052,-0.208,0.963,0.309,-0.096,297.41867,46.64426,14.608,0,0
0.0,8.65298599,7.34e-05,-7.34e-05,136.67132,0.00608,-0.00608,0.529,0.051,-0.43,1.549,0.257,-0.257,314.0,40.5,-40.5,1.36,0.17,-0.15,734.0,68.48,28.36,-20.5,12.4,1.0,5210.0,155.0,-155.0,4.538,0.088,-0.064,0.749,0.091,-0.083,289.60037,39.431709,15.415,0,0
0.0,2.17815196,1.38e-05,-1.38e-05,132.02208,0.00643,-0.00643,0.32,0.139,-0.32,2.445,0.162,-0.162,245.0,16.9,-16.9,1.09,0.17,-0.08,1139.0,395.98,199.0,-94.48,17.9,1.0,5357.0,160.0,-160.0,4.634,0.036,-0.09,0.7,0.109,-0.051,287.96875,46.301659,15.916,0,0
0.903,24.352541,0.00141,-0.00141,147.1949,0.0431,-0.0431,0.505,0.527,-0.293,2.782,0.814,-0.814,349.0,85.8,-85.8,1.52,0.05,-0.11,498.0,14.52,2.04,-2.73,5.8,2.0,4891.0,78.0,-78.0,4.516,0.068,-0.02,0.805,0.028,-0.056,289.43896,49.73122,14.779,1,1
1.0,7.953547,1.91e-05,-1.91e-05,174.66224,0.00182,-0.00182,0.3,0.145,-0.3,2.6312,0.0595,-0.0595,875.0,25.3,-25.3,2.25,0.07,-0.14,696.0,55.37,7.15,-10.12,38.4,1.0,4768.0,76.0,-85.0,4.536,0.056,-0.016,0.779,0.023,-0.049,291.15878,40.750271,15.66,1,2
0.984,2.63527677,2.09e-05,-2.09e-05,133.97919,0.00527,-0.00527,0.646,0.015,-0.5,1.997,0.2,-0.2,70.4,7.9,-7.9,0.76,0.05,-0.06,1136.0,394.32,83.99,-77.27,10.7,1.0,5215.0,83.0,-83.0,4.496,0.066,-0.05,0.864,0.058,-0.064,289.80804,44.362518,14.342,1,1
0.0,9.942228056,6.87e-07,-6.87e-07,133.8474942,5.7e-05,-5.7e-05,0.93,0.297,-0.022,2.45451,0.00377,-0.00377,31100.0,23.4,-23.4,22.15,3.6,-2.94,740.0,70.93,36.96,-23.71,1073.3,1.0,5268.0,158.0,-158.0,4.475,0.108,-0.156,0.843,0.137,-0.112,298.64252,42.092831,14.099,1,1
0.998,31.57865122,7.28e-06,-7.28e-06,177.206237,0.000178,-0.000178,0.04,0.259,-0.04,2.12791,0.00922,-0.00922,2130.0,8.0,-8.0,4.52,0.68,-0.36,570.0,24.94,10.54,-5.5,324.3,1.0,5733.0,104.0,-115.0,4.442,0.063,-0.117,0.99,0.149,-0.08,284.47217,39.911812,11.105,1,2
0.625,16.4491515,0.000273,-0.000273,145.7441,0.0142,-0.0142,0.866,0.05,-0.586,6.696,0.445,-0.445,70.9,7.5,-7.5,2.75,0.58,-1.08,1036.0,272.9,196.21,-187.63,11.0,1.0,5334.0,214.0,-214.0,3.712,0.308,-0.132,2.789,0.591,-1.097,292.40323,44.782009,12.999,1,1
0.0,62.7356439,0.000107,-0.000107,152.22026,0.0021,-0.0021,0.73,0.034,-0.034,10.7925,0.0131,-0.0131,244000.0,271.0,-271.0,90.12,26.1,-28.7,590.0,28.65,26.07,-17.13,1115.3,1.0,6211.0,219.0,-219.0,4.127,0.293,-0.158,1.44,0.417,-0.459,297.95358,40.153252,14.27,0,0
1.0,8.20396958,1.49e-05,-1.49e-05,169.69138,0.00143,-0.00143,0.823,0.001,-0.58,2.9667,0.0529,-0.0529,1020.0,21.2,-21.2,3.01,0.24,-0.3,742.0,71.5,22.24,-20.23,54.4,1.0,5015.0,149.0,-149.0,4.499,0.09,-0.06,0.826,0.066,-0.083,286.5657,41.808399,15.376,1,2
0.318,382.30306,0.031,-0.031,356.7308,0.0324,-0.0324,0.597,0.0,-0.487,8.83,5.5,-5.5,226.0,20.9,-20.9,4.05,0.69,-1.49,400.0,6.04,3.25,-3.9,9.6,1.0,5993.0,178.0,-178.0,3.733,0.323,-0.108,2.59,0.439,-0.951,285.36993,40.907429,13.104,1,1
0.047,3.71840884,7.62e-05,-7.62e-05,134.6575,0.018,-0.018,0.192,0.266,-0.192,3.611,0.516,-0.516,77.2,9.6,-9.6,0.84,0.28,-0.09,1184.0,464.19,444.36,-141.7,9.6,2.0,5982.0,160.0,-195.0,4.493,0.054,-0.216,0.96,0.314,-0.105,287.44409,38.088428,14.794,1,1
